,epochs,loss,trial,val_loss
0,0.0,420.12998211263965,1,165.96058902902743
1,1.0,179.57683489475707,1,142.9394462877526
2,2.0,164.82861856223076,1,136.74821570116885
3,3.0,158.33344339605273,1,131.01419813210708
4,4.0,154.16439463828576,1,134.29930590624414
5,5.0,151.07333838248198,1,134.68785579353917
6,6.0,149.17862033327697,1,146.87853094928502
7,7.0,147.5830801604611,1,125.0851785065311
8,8.0,146.5251461141163,1,121.7766613514038
9,9.0,145.49470405254084,1,124.59711079402018
10,10.0,144.44745794710778,1,128.41344372689585
11,11.0,143.5760376127026,1,114.17109998804787
12,12.0,143.04476475549686,1,119.80566102814878
13,13.0,142.44678933659176,1,113.81765610620391
14,14.0,141.67669554265635,1,112.38508117982609
15,15.0,141.4904248826926,1,116.05743589349615
16,16.0,140.7935191580056,1,115.16250123409735
17,17.0,140.60163662697303,1,122.36104824777176
18,18.0,140.14314884560474,1,114.250553048496
19,19.0,139.58492921768743,1,114.88775630487736
20,20.0,139.187765286675,1,115.91327024815347
21,21.0,138.98705512870677,1,111.13838696903899
22,22.0,138.63934587565672,1,114.15663262623184
23,23.0,138.57345024339008,1,115.42524265782002
24,24.0,138.11367239513234,1,122.72205552811413
25,25.0,137.89996985032036,1,111.28824657077303
26,26.0,137.8946935000202,1,116.35233965237198
27,27.0,137.57071991586352,1,116.40226461347092
28,28.0,137.4808146070346,1,113.76057192012495
29,29.0,137.15466122874344,1,109.41204970286783
30,30.0,137.1101962043072,1,109.90753767717189
31,31.0,136.91517706278768,1,109.91483342287988
32,32.0,136.74698817554778,1,108.6857945220192
33,33.0,136.42728016050123,1,114.27073043239089
34,34.0,136.69780401951198,1,112.08204595266344
35,35.0,136.21296208197998,1,108.97616800188742
36,36.0,136.10055706174634,1,110.2227843432858
37,37.0,135.89962325276835,1,112.05439383321645
38,38.0,135.68590494467136,1,113.92386135977549
39,39.0,135.65096679180053,1,108.04421336800206
40,40.0,135.57272912841938,1,111.9492998145296
41,41.0,135.52390881573058,1,109.44043648639392
42,42.0,135.45171712151074,1,111.44545836570369
43,43.0,135.34247808021257,1,110.01781676927465
44,44.0,135.15829387968674,1,110.3452337180932
45,45.0,134.922101707488,1,115.57921912922752
46,46.0,134.97994268318524,1,109.52651645928874
47,47.0,134.82278906755087,1,109.21245066177356
48,0.0,418.9509014061783,2,172.72146728291403
49,1.0,179.5027475703712,2,144.95362130303025
50,2.0,165.0305670511787,2,158.40045232986722
51,3.0,158.00831527001895,2,129.0160778559001
52,4.0,153.80344529531763,2,131.03704015727385
53,5.0,151.28949174932612,2,124.94877061895502
54,6.0,148.83928508861806,2,137.14395561719806
55,7.0,147.3702998046993,2,129.30001301776505
56,8.0,146.5858355387181,2,125.9833093836431
57,9.0,144.94062248017562,2,119.77208111107304
58,10.0,144.21675931808105,2,118.37405077763887
59,11.0,143.34935500136845,2,117.68100945929271
60,12.0,142.866529753848,2,117.81461231559169
61,13.0,142.3479808355982,2,114.33066525204829
62,14.0,141.70320286938872,2,119.3082168222119
63,15.0,141.2885364228593,2,113.95138083809766
64,16.0,140.8429218124071,2,131.3844631265875
65,17.0,140.46608964546834,2,112.96500217647213
66,18.0,139.827245808164,2,120.80915703150254
67,19.0,139.67309971401514,2,114.7495689008555
68,20.0,139.3531429441235,2,118.24418228279225
69,21.0,139.11708689731677,2,112.22139929397477
70,22.0,138.8331832457953,2,111.57738658170412
71,23.0,138.53443280431713,2,112.10782657809158
72,24.0,138.12939536027548,2,114.26572017566419
73,25.0,138.2838274416588,2,113.17279084302248
74,26.0,137.84529127340767,2,130.28292018391787
75,27.0,137.63770952689399,2,118.95297035429705
76,28.0,137.41443044274516,2,112.77662080586279
77,29.0,137.27888766389805,2,113.2114127454883
78,30.0,137.00725596133628,2,118.10242372322526
79,0.0,427.038469938557,3,164.9572152316985
80,1.0,187.22949909997928,3,152.74720948846968
81,2.0,174.01495502941017,3,138.81446264846696
82,3.0,166.8855326417243,3,135.2663400964228
83,4.0,162.6933891904142,3,141.56003459774055
84,5.0,160.21233460558355,3,135.6840459819183
85,6.0,157.7555483281843,3,126.04002995502091
86,7.0,155.99674361745977,3,124.4598366043315
87,8.0,154.56220361011856,3,121.95340150064585
88,9.0,153.46499171777003,3,130.27454411328898
89,10.0,152.48132629571546,3,134.77017532165715
90,11.0,151.9877369608514,3,121.68273356379416
91,12.0,151.1769559392612,3,120.81797435905061
92,13.0,150.59308750244045,3,123.98691052719317
93,14.0,149.88439710990275,3,118.12304945500986
94,15.0,149.59060373623427,3,118.10693282815531
95,16.0,149.22801702518566,3,123.7773027442171
96,17.0,148.5731911493288,3,118.45600269344179
97,18.0,148.12397885894185,3,121.44020890120103
98,19.0,147.99285596890314,3,134.182599655529
99,20.0,147.73224445322364,3,118.07306960711439
100,21.0,147.2289634905208,3,124.1204546244681
101,22.0,147.0941251856545,3,119.3510328692608
102,23.0,146.79020311218403,3,116.62762734545171
103,24.0,146.58281542548633,3,121.6142815916647
104,25.0,146.2587673662249,3,117.88411710433783
105,26.0,146.18868632069504,3,115.33871735958563
106,27.0,145.96457528146036,3,115.71886743396544
107,28.0,145.63859888240523,3,113.49768135885076
108,29.0,145.2837873357078,3,117.07263762878985
109,30.0,145.3471187420437,3,114.27780684923259
110,31.0,145.12526729728305,3,115.6765065514018
111,32.0,144.8440238616306,3,119.22272706529657
112,33.0,144.68661185262374,3,114.59273928076558
113,34.0,144.7688502232787,3,118.73227788271686
114,35.0,144.53899039543606,3,115.85577257750852
115,36.0,144.42949959886968,3,122.02990641081324
