,epochs,loss,trial,val_loss
0,0.0,235.24036979380267,1,188.8593038483728
1,1.0,179.45860249961152,1,175.4191636264739
2,2.0,170.45819023645672,1,167.36224039229697
3,3.0,164.64387678749694,1,163.12683003979512
4,4.0,161.097773338784,1,162.49986315179223
5,5.0,158.2083421221834,1,162.29715327818266
6,6.0,157.19865136762414,1,158.92694924657692
7,7.0,155.11178369957258,1,159.67856083078524
8,8.0,153.36733142885237,1,156.25331923211164
9,9.0,152.4611157375256,1,151.85741246364324
10,10.0,152.0768426613391,1,155.36931154585955
11,11.0,151.89024236491736,1,150.71459861218423
12,12.0,149.39063018509702,1,153.42709083291604
13,13.0,149.15489568216157,1,153.07344932290627
14,14.0,148.8236325006566,1,153.78142943533464
15,15.0,147.552047881431,1,150.43837623566688
16,16.0,147.1993497323363,1,149.05943052582472
17,17.0,146.45609948437803,1,150.78211819323477
18,18.0,145.83700722755614,1,150.11986848575978
19,19.0,145.57083022345523,1,147.5079523132277
20,20.0,145.06402033240133,1,146.82855153655416
21,21.0,145.50267949292387,1,146.523862046598
22,22.0,144.3970060636162,1,144.95107977646595
23,23.0,144.32670287835165,1,145.30756767461767
24,24.0,143.47493751714697,1,150.25346074174377
25,25.0,143.29806740857424,1,147.36237588928176
26,26.0,143.04127597956352,1,147.3253874634922
27,27.0,142.60319975670788,1,145.16264097799373
28,28.0,142.32333643530473,1,148.4984920203732
29,29.0,142.00372727785754,1,143.86239042377989
30,30.0,141.91115483994272,1,143.69762412393544
31,31.0,141.6858657090496,1,142.8478736036615
32,32.0,141.6662544566167,1,142.66110597685704
33,33.0,141.7433587994026,1,144.33316332705704
34,34.0,141.1493212035342,1,145.31169472419285
35,35.0,140.8084208347589,1,145.88092457446035
36,36.0,140.576028669701,1,143.5526069661765
37,37.0,140.52259780488453,1,145.67792163297176
38,38.0,140.3660330702331,1,142.99154371451888
39,39.0,140.00560976015166,1,144.71888191240845
40,40.0,140.51254695676965,1,144.99927740104422
