,epochs,loss,trial,val_loss
0,0.0,416.0206308032963,1,164.71005578863463
1,1.0,178.9147437671682,1,152.9490050915499
2,2.0,164.36681563929818,1,149.70581440287603
3,3.0,157.81769386816651,1,145.58455129123342
4,4.0,154.0558657782629,1,129.85117538198426
5,5.0,151.20285893592924,1,142.2245251743349
6,6.0,149.10277471815257,1,122.44629022048042
7,7.0,147.65873703657888,1,134.13744829536313
8,8.0,146.40714649073578,1,122.11203601244154
9,9.0,145.3291823084006,1,119.6463854598704
10,10.0,144.05398021293811,1,115.77219154847654
11,11.0,143.29711732325956,1,115.8243206080225
12,12.0,142.97720061654005,1,124.70409069961111
13,13.0,142.32769480216254,1,116.43623022210755
14,14.0,142.14746416214356,1,115.43642602700737
15,15.0,141.27699263411165,1,117.25871130079607
16,16.0,141.08762906598935,1,116.84538305626299
17,17.0,140.12485506510606,1,130.3360393063928
18,18.0,140.23678257847052,1,113.94762415491327
19,19.0,139.62917789745404,1,119.05058636115857
20,20.0,139.42809331795087,1,118.0851324808662
21,21.0,139.1088051290726,1,112.00784506211424
22,22.0,138.80721627550355,1,111.25848441186656
23,23.0,138.64379755508412,1,113.7904678427334
24,24.0,138.2311019174645,1,113.286412039194
25,25.0,138.23851302899968,1,112.29857838771552
26,26.0,137.90749994766225,1,111.64972920133822
27,27.0,137.6036969219541,1,112.7798198115798
28,28.0,137.7406207805259,1,122.14166976385862
29,29.0,137.17523779725255,1,115.88868973150055
30,30.0,137.0187017362614,1,110.01777541978545
31,31.0,137.0890563395442,1,114.12058193445759
32,32.0,136.77366793810262,1,117.47350927590402
33,33.0,136.69634110081225,1,113.96669805132872
34,34.0,136.47432550310813,1,110.50657392119771
35,35.0,136.31583475937515,1,108.67695231190598
36,36.0,136.22157739578802,1,112.70799770340473
37,37.0,135.9030161368598,1,111.42418302608293
38,38.0,135.9724150611187,1,109.33185303165114
39,39.0,135.8656925561349,1,110.01202991630159
40,40.0,135.68203570136524,1,108.76387358043698
41,41.0,135.48425806462996,1,109.16687508691491
42,42.0,135.626774388879,1,111.28096261138798
43,43.0,135.53243498717364,1,115.70717426574424
44,0.0,417.86526686925805,2,241.59265672192495
45,1.0,180.7674028141408,2,144.8793170498216
46,2.0,165.74677942781972,2,148.55963230206814
47,3.0,158.43247602894982,2,140.76725214392476
48,4.0,154.80952546694255,2,126.30408736521757
49,5.0,151.82558740319342,2,136.74319225969188
50,6.0,149.6863655671535,2,123.09338564625656
51,7.0,148.03481111873145,2,118.74627009787858
52,8.0,146.76419157808544,2,120.60127735506723
53,9.0,145.39945022541704,2,122.563908018627
54,10.0,144.5893965556653,2,126.08152535122122
55,11.0,143.6417274135817,2,116.45001676814647
56,12.0,142.6930928447868,2,123.23507491286558
57,13.0,142.3312128971274,2,114.10245909989571
58,14.0,141.63348385574093,2,117.52866513399034
59,15.0,141.44918380554387,2,114.74331814027626
60,16.0,140.96320483892902,2,128.8235077529754
61,17.0,140.41192880233683,2,114.567511534193
62,18.0,140.13485435875276,2,122.3133033758342
63,19.0,139.92133546668433,2,120.00131030130645
64,20.0,139.36255255578934,2,114.19388038652956
65,21.0,139.02302572068925,2,116.12134212426041
66,0.0,454.57439723829845,3,199.17393427861356
67,1.0,183.22027715637253,3,156.4631810553389
68,2.0,169.28490702606226,3,135.34275523729318
69,3.0,161.1824876736599,3,164.85567474070209
70,4.0,157.15665693939516,3,127.85155506237292
71,5.0,153.83283276421471,3,129.4873135884603
72,6.0,151.80456288508086,3,129.57105764785848
73,7.0,150.33178371656615,3,124.03842022210613
74,8.0,149.2417554198912,3,124.14339719773814
75,9.0,147.71303698487367,3,125.08697430550914
76,10.0,147.031032541604,3,120.63998137973392
77,11.0,145.89301979348167,3,118.68161398554992
78,12.0,145.53493832251127,3,120.8078519447958
79,13.0,144.92415547057445,3,119.52106940939919
80,14.0,144.1531765503378,3,115.90175106022032
81,15.0,143.78861518765456,3,113.85102184263201
82,16.0,143.4090756433285,3,115.37720731719003
83,17.0,142.9929248311219,3,112.71980328865966
84,18.0,142.61317765721958,3,119.28697160188301
85,19.0,142.05882661617363,3,120.27663538313982
86,20.0,141.95323435465494,3,116.15796007449924
87,21.0,141.47907034482313,3,113.51840597036174
88,22.0,141.1564038904342,3,116.09341290378792
89,23.0,140.82801709392692,3,113.60783383427713
90,24.0,140.6190177123858,3,112.7261243585644
91,25.0,140.515948583982,3,112.39679974543431
92,26.0,140.21597993530605,3,112.28088825576911
93,27.0,140.00089678281236,3,115.27059141868597
94,28.0,139.9082996651634,3,110.45786234655772
95,29.0,139.6032584397625,3,120.4358523458081
96,30.0,139.62881931148567,3,111.59712861659263
97,31.0,139.38623692836305,3,111.01563289639384
98,32.0,139.10420717385418,3,114.00322899224679
99,33.0,139.03408814951698,3,114.11546062814664
100,34.0,138.90650353870555,3,111.10100679183688
101,35.0,138.62758531297536,3,116.55626450116009
102,36.0,138.51320845861355,3,114.11696034702145
103,0.0,406.6843614541369,4,165.15887060556315
104,1.0,180.81936836095161,4,187.23000330382877
105,2.0,166.06481843610558,4,139.40979153779892
106,3.0,159.17575096254282,4,129.93864331167978
